═══ GHEG (KOSOVO-ALBANISCH) LERNSÄTZE ═══
  1012 Sätze in 9 Schwierigkeitsstufen
  Format: L# | ### | Gheg (Kosovo) | Deutsch
L4 | 003 | Sot kam ba detyrat e shpisë. | Heute habe ich die Hausaufgaben gemacht.
L4 | 004 | Pastaj kemi shkue n'treg me blejtë bukë. | Danach sind wir zum Markt gegangen, um Brot zu kaufen.
L4 | 005 | Dje kam punu gjithë ditën n'zyrë. | Gestern habe ich den ganzen Tag im Büro gearbeitet.
L4 | 006 | Tash do të shkoj n'palester me ushtrue. | Jetzt werde ich ins Fitnessstudio gehen, um zu trainieren.
L4 | 007 | Nana ka gatu fli për mëngjes. | Mama hat Flia zum Frühstück gekocht.
L4 | 008 | Nesër do të kem provimin e matematikës. | Morgen werde ich die Matheprüfung haben.
L4 | 009 | Dje mësuesi ka shpjegue mësimin e ri. | Gestern hat der Lehrer die neue Lektion erklärt.
L4 | 010 | Kam punu si kuzhinier për tri vjet. | Ich habe drei Jahre lang als Koch gearbeitet.
L4 | 011 | A je nisë tash për n'punë? | Bist du jetzt zur Arbeit aufgebrochen?
L4 | 012 | Motra ka mbarue shkollën e mesme. | Meine Schwester hat die Mittelschule abgeschlossen.
L4 | 013 | Dje kam pa një film shumë të mirë. | Gestern habe ich einen sehr guten Film gesehen.
L4 | 014 | Nesër do të filloj punën e re. | Morgen werde ich die neue Arbeit beginnen.
L4 | 015 | Babi ka punu si mësues për njëzet vjet. | Papa hat zwanzig Jahre als Lehrer gearbeitet.
L4 | 016 | Tash po shkoj n'bibliotekë me studjue. | Jetzt gehe ich in die Bibliothek, um zu studieren.
L4 | 017 | Dje nxënësit kanë ba nje provim të vështirë. | Gestern haben die Schüler eine schwierige Prüfung gemacht.
L4 | 018 | Sot kam ardhë herët n'punë. | Heute bin ich früh zur Arbeit gekommen.
L4 | 019 | Nesër do të takoj shefin n'zyrë. | Morgen werde ich den Chef im Büro treffen.
L4 | 020 | Kam shkue n'universitet për tri vjet. | Ich bin drei Jahre zur Universität gegangen.
L4 | 021 | Dje kemi ba nji projekt të madh n'shkollë. | Gestern haben wir ein großes Projekt in der Schule gemacht.
L4 | 022 | A ke pa mjekun dje? | Hast du gestern den Arzt gesehen?
L4 | 023 | Pastaj do të ha darkë me familje. | Danach werde ich Abendessen mit der Familie essen.
L4 | 024 | Vllai ka fillue punën si inxhinier. | Mein Bruder hat die Arbeit als Ingenieur begonnen.
L4 | 025 | Dje kam mësue shumë fjalë të reja shqip. | Gestern habe ich viele neue albanische Wörter gelernt.
L4 | 026 | Sot kemi provimin e historisë. | Heute haben wir die Geschichtsprüfung.
L4 | 027 | Nesër do të vizitoj gjyshin n'fshat. | Morgen werde ich den Großvater im Dorf besuchen.
L4 | 028 | Dje kam shkru nje letër të gjatë. | Gestern habe ich einen langen Brief geschrieben.
L4 | 029 | Tash punoj si programues n'nji kompani. | Jetzt arbeite ich als Programmierer in einer Firma.
L4 | 030 | Kam mbarue fakultetin e ekonomisë. | Ich habe die wirtschaftliche Fakultät abgeschlossen.
L4 | 031 | Dje babi ka blerë nji veturë të re. | Gestern hat Papa ein neues Auto gekauft.
L4 | 032 | Nesër do të kem nji takim të rëndësishëm. | Morgen werde ich eine wichtige Besprechung haben.
L4 | 033 | Sot kam mësue gjuhën gjermane n'shkollë. | Heute habe ich Deutsch in der Schule gelernt.
L4 | 034 | A ke punu ndonjëherë si kamarier? | Hast du jemals als Kellner gearbeitet?
L4 | 035 | Dje kemi shkue n'kinema me pa nji film. | Gestern sind wir ins Kino gegangen, um einen Film zu sehen.
L4 | 036 | Pastaj kam shkue n'shtepi me pushue. | Danach bin ich nach Hause gegangen, um mich auszuruhen.
L4 | 037 | Nesër do të shkoj n'Prishtinë me punë. | Morgen werde ich nach Pristina zur Arbeit fahren.
L4 | 038 | Dje studentët kanë ba nji prezentim. | Gestern haben die Studenten eine Präsentation gemacht.
L4 | 039 | Tash po mësoj për provimin e biologjisë. | Jetzt lerne ich für die Biologieprüfung.
L4 | 040 | Kam shkue n'shkollë fillore n'Prishtinë. | Ich bin in Pristina zur Grundschule gegangen.
L4 | 041 | Dje kam hangër drekë me shokët. | Gestern habe ich Mittagessen mit Freunden gegessen.
L4 | 042 | Nesër vllai do të nis punën e re. | Morgen wird mein Bruder die neue Arbeit beginnen.
L4 | 043 | Sot profesorët kanë korrigjue provimet. | Heute haben die Professoren die Prüfungen korrigiert.
L4 | 044 | A ki mësue shqip n'shkollë? | Hast du Albanisch in der Schule gelernt?
L4 | 045 | Dje kam lajmëru shefin për projektin. | Gestern habe ich den Chef über das Projekt informiert.
L4 | 046 | Pastaj do të shkruaj nji report për punë. | Danach werde ich einen Bericht für die Arbeit schreiben.
L4 | 047 | Kam punu si shitës për gjashtë muaj. | Ich habe sechs Monate als Verkäufer gearbeitet.
L4 | 048 | Dje motra ka fillue kursin e gjermanishtes. | Gestern hat meine Schwester den Deutschkurs begonnen.
L4 | 049 | Nesër do të kem nji ligjëratë n'universitet. | Morgen werde ich eine Vorlesung an der Universität haben.
L4 | 050 | Tash po përgatis detyrat e shtepisë. | Jetzt bereite ich die Hausaufgaben vor.
L4 | 051 | Dje kemi ba nji ushtrim në klasë. | Gestern haben wir eine Übung in der Klasse gemacht.
L4 | 052 | A ke shkue n'shkollë sot? | Bist du heute zur Schule gegangen?
L4 | 053 | Nesër do të takoj mjekun n'ambulantë. | Morgen werde ich den Arzt in der Praxis treffen.
L4 | 054 | Sot kam marrë nji notë të mirë n'provim. | Heute habe ich eine gute Note in der Prüfung bekommen.
L4 | 055 | Dje kam shkue n'pazar me blejtë perime. | Gestern bin ich zum Markt gegangen, um Gemüse zu kaufen.
L4 | 056 | Pastaj do të shkoj n'palester me stërvitë. | Danach werde ich ins Fitnessstudio gehen, um zu trainieren.
L4 | 057 | Kam punu si sekretar për dy vjet. | Ich habe zwei Jahre als Sekretär gearbeitet.
L4 | 058 | Dje nxënësit kanë mësue për historinë. | Gestern haben die Schüler über Geschichte gelernt.
L4 | 059 | Nesër do të filloj kursin e fizikës. | Morgen werde ich den Physikkurs beginnen.
L4 | 060 | Vllai im ka studjue n'Gjermani. | Mein Bruder hat in Deutschland studiert.
L4 | 061 | Dje kemi shkue n'ekskursion me shkollën. | Gestern sind wir mit der Schule auf Exkursion gegangen.
L4 | 062 | Tash jam tu punu n'nji projekt të ri. | Jetzt arbeite ich an einem neuen Projekt.
L4 | 063 | A ke ba detyrat e shtepisë dje? | Hast du gestern die Hausaufgaben gemacht?
L4 | 064 | Nesër do të vizitoj fakultetin e ri. | Morgen werde ich die neue Fakultät besuchen.
L4 | 065 | Dje kam marrë nji diplomë n'arsim. | Gestern habe ich ein Diplom in Bildung bekommen.
L4 | 066 | Sot po punoj si avokat n'nji firmë. | Heute arbeite ich als Anwalt in einer Firma.
L4 | 067 | Pastaj kam shkue n'shtepi me ba darkë. | Danach bin ich nach Hause gegangen, um Abendessen zu machen.
L4 | 068 | Dje mësuesi ka dhânë nji detyrë të re. | Gestern hat der Lehrer eine neue Aufgabe gegeben.
L4 | 069 | Nesër do të kem nji takim me klientët. | Morgen werde ich ein Treffen mit den Kunden haben.
L4 | 070 | Kam shkue n'shkollë të mesme n'Prishtinë. | Ich bin in Pristina zur Mittelschule gegangen.
L4 | 071 | Dje kam lexue nji libër shumë të bukur. | Gestern habe ich ein sehr schönes Buch gelesen.
L4 | 072 | Tash po përgatem për provimin e kimisë. | Jetzt bereite ich mich auf die Chemieprüfung vor.
L4 | 073 | A ke punu si mësues ndonjëherë? | Hast du jemals als Lehrer gearbeitet?
L4 | 074 | Dje motra ka mbarue gjimnazin. | Gestern hat meine Schwester das Gymnasium abgeschlossen.
L4 | 075 | Nesër do të shkoj n'zyrë herët n'mëngjes. | Morgen werde ich früh am Morgen ins Büro gehen.
L4 | 076 | Sot kam nënshkru kontratën e re. | Heute habe ich den neuen Vertrag unterschrieben.
L4 | 077 | Pastaj do të shkoj n'bibliotekë me lexue. | Danach werde ich in die Bibliothek gehen, um zu lesen.
L4 | 078 | Dje kam pi kafe me kolegët n'punë. | Gestern habe ich Kaffee mit den Kollegen bei der Arbeit getrunken.
L4 | 079 | Kam studjue gjuhë të huaja n'universitet. | Ich habe Fremdsprachen an der Universität studiert.
L4 | 080 | A ki shkue n'shkollë fillore n'fshat? | Bist du im Dorf zur Grundschule gegangen?
L4 | 081 | Nesër do të kem nji seminar të rëndësishëm. | Morgen werde ich ein wichtiges Seminar haben.
L4 | 082 | Dje kam ba nji vizitë te mjeku. | Gestern habe ich einen Besuch beim Arzt gemacht.
L4 | 083 | Tash po mësoj për provimin e gjeografisë. | Jetzt lerne ich für die Geografieprüfung.
L4 | 084 | Vllai ka punu si zdrukthëtar për pesë vjet. | Mein Bruder hat fünf Jahre als Tischler gearbeitet.
L4 | 085 | Dje kemi shkue n'treg me blejtë fruta. | Gestern sind wir zum Markt gegangen, um Obst zu kaufen.
L4 | 086 | Sot kam marrë nji notë të lartë n'provim. | Heute habe ich eine hohe Note in der Prüfung bekommen.
L4 | 087 | Nesër do të nis punën n'fabrikë. | Morgen werde ich die Arbeit in der Fabrik beginnen.
L4 | 088 | Pastaj kam shkue n'gjimnaz për katër vjet. | Danach bin ich vier Jahre aufs Gymnasium gegangen.
L4 | 089 | Dje babi ka punu gjithë natën. | Gestern hat Papa die ganze Nacht gearbeitet.
L4 | 090 | A ki mbarue shkollën e mesme? | Hast du die Mittelschule abgeschlossen?
L4 | 091 | Tash po kërkoj nji punë të re. | Jetzt suche ich einen neuen Job.
L4 | 092 | Dje kam shkue në kurs të gjermanishtes. | Gestern bin ich zum Deutschkurs gegangen.
L4 | 093 | Nesër do të kem nji provim të vështirë. | Morgen werde ich eine schwierige Prüfung haben.
L4 | 094 | Kam punu si elektricist për shtatë vjet. | Ich habe sieben Jahre als Elektriker gearbeitet.
L4 | 095 | Dje kemi ba nji ushtrim të gjatë n'shkollë. | Gestern haben wir eine lange Übung in der Schule gemacht.
L4 | 096 | Sot jam tu përgatit për ligjëratën. | Heute bereite ich mich auf die Vorlesung vor.
L4 | 097 | Nesër do të shkoj n'universitet me studjue. | Morgen werde ich zur Universität gehen, um zu studieren.
L4 | 098 | Dje kam fjet vonë për shkak të provimit. | Gestern habe ich wegen der Prüfung spät geschlafen.
L4 | 099 | Pastaj do të vij n'shtepi me pushue. | Danach werde ich nach Hause kommen, um mich auszuruhen.
L4 | 100 | A ke punu si kuzhinier n'ndonjë restorant? | Hast du in einem Restaurant als Koch gearbeitet?
L4 | 101 | Dje motra ka studjue gjithë ditën. | Gestern hat meine Schwester den ganzen Tag gelernt.
L4 | 102 | Nesër do të kem nji test të gjuhës shqipe. | Morgen werde ich einen Test in albanischer Sprache haben.
L4 | 103 | Tash jam tu punu n'nji projekt shkollor. | Jetzt arbeite ich an einem Schulprojekt.
L4 | 104 | Dje kam marrë nji certifikatë për gjermanisht. | Gestern habe ich ein Zertifikat für Deutsch bekommen.
L4 | 105 | Kam shkue n'kolegj për dy vjet. | Ich bin zwei Jahre aufs College gegangen.
L4 | 106 | Sot profesorët kanë shpallë rezultatet. | Heute haben die Professoren die Ergebnisse bekanntgegeben.
L4 | 107 | Nesër do të filloj stazhin n'nji kompani. | Morgen werde ich ein Praktikum in einer Firma beginnen.
L4 | 108 | Dje kam përgatit nji raport për shefin. | Gestern habe ich einen Bericht für den Chef vorbereitet.
L4 | 109 | A ki shkue n'shkollë të mesme n'Prishtinë? | Bist du in Pristina zur Mittelschule gegangen?
L4 | 110 | Tash po shkruaj nji artikull për gazetën. | Jetzt schreibe ich einen Artikel für die Zeitung.
L4 | 111 | Pastaj do të vij n'shkollë me marrë librat. | Danach werde ich in die Schule kommen, um die Bücher zu holen.
L4 | 112 | Dje kam shkue n'ambulantë me kontrollue shëndetin. | Gestern bin ich zur Praxis gegangen, um die Gesundheit zu checken.
══════════════════════════════════════════════════
LEVEL 5 — MITTELSTUFE II — Gefühle, gesteigerte Adjektive, Wetter, Natur
112 Sätze
══════════════════════════════════════════════════

L5 | 001 | Jam tu u gëzu shumë, sepse sot asht mot i bukur. | Ich freue mich sehr, weil heute schönes Wetter ist.
L5 | 002 | Qeni asht i madh, ndërsa macja asht e vogël. | Der Hund ist groß, während die Katze klein ist.
L5 | 003 | Kjo pemë asht më e lartë se ajo. | Dieser Baum ist höher als jener.
L5 | 004 | Jam i trishtuem, sepse moti asht i keq. | Ich bin traurig, weil das Wetter schlecht ist.
L5 | 005 | Dielli shkëlqen fort sot, ndërsa dje ka pasë shi. | Die Sonne scheint heute sehr, während es gestern geregnet hat.
L5 | 006 | Dhelpra asht më e shpejtë se lepuri. | Der Fuchs ist schneller als der Hase.
L5 | 007 | Kam besim se do të kaloj provimin. | Ich habe Vertrauen, dass ich die Prüfung bestehen werde.
L5 | 008 | Kjo lule asht më e bukur se ajo. | Diese Blume ist schöner als jene.
L5 | 009 | Ai asht shumë i gëzuem, sepse ka fitue në garë. | Er ist sehr fröhlich, weil er im Wettkampf gewonnen hat.
L5 | 010 | Era fryn fort sot, ndërsa dje ka pasë qetësi. | Der Wind weht heute stark, während es gestern ruhig war.
L5 | 011 | Shqiponja asht më e madhe se harabeli. | Der Adler ist größer als der Spatz.
L5 | 012 | Jam i lodhun, sepse kam punu gjithë ditën. | Ich bin müde, weil ich den ganzen Tag gearbeitet habe.
L5 | 013 | Mali asht më i lartë se bregu. | Der Berg ist höher als der Hügel.
L5 | 014 | A je i kënaqun me provimin? | Bist du zufrieden mit der Prüfung?
L5 | 015 | Lopa asht e madhe, ndërsa viçi asht i vogël. | Die Kuh ist groß, während das Kalb klein ist.
L5 | 016 | Sot bën më ngrohtë se dje. | Heute ist es wärmer als gestern.
L5 | 017 | Jam i shqetësuem, sepse s'kam lajme prej vllait. | Ich bin besorgt, weil ich keine Nachrichten von meinem Bruder habe.
L5 | 018 | A e dashnon natyrën? — Po, shumë. | Liebst du die Natur? — Ja, sehr.
L5 | 019 | Ujku asht më i rrezikshëm se dhelpra. | Der Wolf ist gefährlicher als der Fuchs.
L5 | 020 | Jam shumë i lumtun, sepse sot asht ditëlindja ime. | Ich bin sehr glücklich, weil heute mein Geburtstag ist.
L5 | 021 | Ajo asht më e re se motra e saj. | Sie ist jünger als ihre Schwester.
L5 | 022 | Kam dashuni të madhe për familjen time. | Ich habe große Liebe für meine Familie.
L5 | 023 | Qeni asht më besnik se macja. | Der Hund ist treuer als die Katze.
L5 | 024 | Sot po bjen shi, ndërsa nesër do të ketë diell. | Heute regnet es, während es morgen sonnig sein wird.
L5 | 025 | Jam i frikësuem, sepse ka stuhi jashtë. | Ich habe Angst, weil draußen ein Sturm ist.
L5 | 026 | Kali asht më i shpejtë se gomari. | Das Pferd ist schneller als der Esel.
L5 | 027 | Kjo shtëpi asht më e madhe se ajo. | Dieses Haus ist größer als jenes.
L5 | 028 | Moti sot asht më i mirë se dje. | Das Wetter heute ist besser als gestern.
L5 | 029 | Kam shpresë se do të shërohem shpejt. | Ich habe Hoffnung, dass ich schnell gesund werde.
L5 | 030 | Gjeli këndon n'mëngjes, ndërsa bufi fle ditën. | Der Hahn singt am Morgen, während die Eule tagsüber schläft.
L5 | 031 | A je i zemëruem me mua? | Bist du wütend auf mich?
L5 | 032 | Lumi asht më i gjatë se përroi. | Der Fluss ist länger als der Bach.
L5 | 033 | Jam krenar për djalin tim, sepse ka kalu provimin. | Ich bin stolz auf meinen Sohn, weil er die Prüfung bestanden hat.
L5 | 034 | Pylli asht më i errët se livadhi. | Der Wald ist dunkler als die Wiese.
L5 | 035 | Sot ndihem më mirë se dje. | Heute fühle ich mich besser als gestern.
L5 | 036 | A ke pa ariun n'pyll? — Jo, s'e kam pa. | Hast du den Bären im Wald gesehen? — Nein, habe ich nicht.
L5 | 037 | Kam mall për familjen, sepse janë larg. | Ich habe Heimweh nach der Familie, weil sie weit weg sind.
L5 | 038 | Kjo rrugë asht më e ngushtë se ajo. | Diese Straße ist enger als jene.
L5 | 039 | Ajo asht shumë e dashun për fëmijët. | Sie ist sehr liebevoll zu den Kindern.
L5 | 040 | Në verë bën më nxehtë se n'pranverë. | Im Sommer ist es heißer als im Frühling.
L5 | 041 | Jam i befasuem, sepse ke ardhë herët. | Ich bin überrascht, weil du früh gekommen bist.
L5 | 042 | Shpendi fluturon lart, ndërsa peshku noton n'ujë. | Der Vogel fliegt hoch, während der Fisch im Wasser schwimmt.
L5 | 043 | Kjo pemë asht më e vjetër se ajo. | Dieser Baum ist älter als jener.
L5 | 044 | A të pëlqen dimri apo vera? | Magst du den Winter oder den Sommer?
L5 | 045 | Jam i uritur, sepse s'kam hangër mëngjes. | Ich bin hungrig, weil ich kein Frühstück gegessen habe.
L5 | 046 | Breshka asht më e ngadaltë se lepuri. | Die Schildkröte ist langsamer als der Hase.
L5 | 047 | Në vjeshtë gjethet bien, ndërsa n'pranverë rriten. | Im Herbst fallen die Blätter, während sie im Frühling wachsen.
L5 | 048 | A po gëzohesh për pushimet? | Freust du dich auf die Ferien?
L5 | 049 | Borë ka më shumë n'mal se n'fushë. | Es gibt mehr Schnee auf dem Berg als im Feld.
L5 | 050 | Pula asht e vogël, ndërsa gjeli asht i madh. | Das Huhn ist klein, während der Hahn groß ist.
L5 | 051 | Kam besim te shoku im më i mirë. | Ich vertraue meinem besten Freund.
L5 | 052 | Ajo asht më e gjatë se unë. | Sie ist größer als ich.
L5 | 053 | Jam i mërzitun, sepse s'mund të dal sot. | Ich bin traurig, weil ich heute nicht ausgehen kann.
L5 | 054 | Ketri asht më i shpejtë se kërmilli. | Das Eichhörnchen ist schneller als die Schnecke.
L5 | 055 | Në dimër bën më ftohtë se n'vjeshtë. | Im Winter ist es kälter als im Herbst.
L5 | 056 | A ndje dashuni për këtë vend? | Fühlst du Liebe für dieses Land?
L5 | 057 | Kam frikë nga stuhitë, sepse janë të rrezikshme. | Ich habe Angst vor Stürmen, weil sie gefährlich sind.
L5 | 058 | Ariu asht më i fortë se ujku. | Der Bär ist stärker als der Wolf.
L5 | 059 | Sot qielli asht i kthjellët, ndërsa dje ka pasë re. | Heute ist der Himmel klar, während es gestern Wolken gab.
L5 | 060 | Jam mirënjohës për ndihmën tënde. | Ich bin dankbar für deine Hilfe.
L5 | 061 | Ajo asht më e lumtun se unë sot. | Sie ist heute glücklicher als ich.
L5 | 062 | Macja luan me top, ndërsa qeni fle. | Die Katze spielt mit dem Ball, während der Hund schläft.
L5 | 063 | Më pëlqen natyra, sepse asht e qetë. | Ich mag die Natur, weil sie ruhig ist.
L5 | 064 | Ky liqen asht më i thellë se ai. | Dieser See ist tiefer als jener.
L5 | 065 | Sa bukur që po fryn era sot! | Wie schön der Wind heute weht!
L5 | 066 | Jam i pasigurt për provimin e nesërm. | Ich bin unsicher wegen der morgigen Prüfung.
L5 | 067 | Flutura asht më e lehtë se milingona. | Der Schmetterling ist leichter als die Ameise.
L5 | 068 | Në pranverë lulëzojnë lulet, ndërsa në vjeshtë vyshken. | Im Frühling blühen die Blumen, während sie im Herbst welken.
L5 | 069 | A të pëlqejnë kafshët e egra? | Magst du die wilden Tiere?
L5 | 070 | Ky mal asht më i bukuri në Kosovë. | Dieser Berg ist der schönste im Kosovo.
L5 | 071 | Jam i nevrikosun, sepse autobusi vonon. | Ich bin nervös, weil der Bus Verspätung hat.
L5 | 072 | Peshku noton n'ujë, ndërsa shpendi fluturon n'qiell. | Der Fisch schwimmt im Wasser, während der Vogel am Himmel fliegt.
L5 | 073 | Ajo asht më e reja në familje. | Sie ist die Jüngste in der Familie.
L5 | 074 | Sot ndihem i lumtun, sepse moti asht i mirë. | Heute fühle ich mich glücklich, weil das Wetter gut ist.
L5 | 075 | Jam xheloz, sepse vllai ka veturë të re. | Ich bin eifersüchtig, weil mein Bruder ein neues Auto hat.
L5 | 076 | Gjarpri asht më i rrezikshëm se hardhuca. | Die Schlange ist gefährlicher als die Eidechse.
L5 | 077 | Në dimër bie borë, ndërsa në verë shkëlqen dielli. | Im Winter schneit es, während im Sommer die Sonne scheint.
L5 | 078 | A ke interesim për muzikë? | Hast du Interesse an Musik?
L5 | 079 | Kjo lule asht më e vogël se ajo. | Diese Blume ist kleiner als jene.
L5 | 080 | Jam i dëshpëruem, sepse s'kalova provimin. | Ich bin verzweifelt, weil ich die Prüfung nicht bestanden habe.
L5 | 081 | Delet kullosin në livadh, ndërsa lopët janë n'stallë. | Die Schafe grasen auf der Wiese, während die Kühe im Stall sind.
L5 | 082 | Më pëlqen vera më shumë se dimri. | Ich mag den Sommer mehr als den Winter.
L5 | 083 | A ke frikë nga gjarpërinjtë? | Hast du Angst vor Schlangen?
L5 | 084 | Ky qen asht më besniku që kam pa. | Dieser Hund ist der treueste, den ich gesehen habe.
L5 | 085 | Sot ndihem keq, sepse kam dhimbje koke. | Heute fühle ich mich schlecht, weil ich Kopfschmerzen habe.
L5 | 086 | Dielli asht më i ndritshëm se hana. | Die Sonne ist heller als der Mond.
L5 | 087 | A je i gatshëm për shëtitje në mal? | Bist du bereit für eine Wanderung im Berg?
L5 | 088 | Kam zili për suksesin e shokut. | Ich bin neidisch auf den Erfolg meines Freundes.
L5 | 089 | Bleta asht më punëtore se flutura. | Die Biene ist fleißiger als der Schmetterling.
L5 | 090 | Sa bukur shkëlqejnë yjet sonte! | Wie schön die Sterne heute Nacht leuchten!
L5 | 091 | Jam i stresuem, sepse kam shumë punë. | Ich bin gestresst, weil ich viel Arbeit habe.
L5 | 092 | Lepuri asht më i vogël se ariu. | Der Hase ist kleiner als der Bär.
L5 | 093 | Më pëlqen natyra, ndërsa vllait i pëlqen qyteti. | Ich mag die Natur, während mein Bruder die Stadt mag.
L5 | 094 | A ndje dashuni për këtë kafshë? | Fühlst du Liebe für dieses Tier?
L5 | 095 | Ky lumë asht më i pastri në rajon. | Dieser Fluss ist der sauberste in der Region.
L5 | 096 | Jam i qetë, sepse jam në natyrë. | Ich bin ruhig, weil ich in der Natur bin.
L5 | 097 | Kalërimi asht më i vështirë se çiklizmi. | Reiten ist schwieriger als Radfahren.
L5 | 098 | Sot asht mot i nxehtë, ndërsa nesër do të jetë më freskët. | Heute ist heißes Wetter, während es morgen kühler sein wird.
L5 | 099 | A e dashnon babanë tënd? — Po, shumë. | Liebst du deinen Vater? — Ja, sehr.
L5 | 100 | Majmuni asht më i zgjuar se derri. | Der Affe ist klüger als das Schwein.
L5 | 101 | Më pëlqen të shëtis në pyll, sepse ajri asht i pastër. | Ich mag es, im Wald spazieren zu gehen, weil die Luft sauber ist.
L5 | 102 | Ai asht më i riu në klasën tonë. | Er ist der Jüngste in unserer Klasse.
L5 | 103 | Në pranverë dëgjoj zogjtë, ndërsa në dimër fryn era. | Im Frühling höre ich die Vögel, während im Winter der Wind weht.
L5 | 104 | Kam frikë nga bubullimat, sepse janë të forta. | Ich habe Angst vor Donner, weil er laut ist.
L5 | 105 | A po mendon se vera asht më e mirë se dimri? | Denkst du, dass der Sommer besser ist als der Winter?
L5 | 106 | Më pëlqen shiu, sepse freskon ajrin. | Ich mag den Regen, weil er die Luft erfrischt.
L5 | 107 | Jam shumë i dashun për familjen time. | Ich bin meiner Familie sehr zugetan.
L5 | 108 | Kjo lule asht më e bukura në kopsht. | Diese Blume ist die schönste im Garten.
L5 | 109 | Sot kam gëzim të madh, sepse vjen nana. | Heute habe ich große Freude, weil Mama kommt.
L5 | 110 | Në verë bën vapë, ndërsa në dimër bën ftohtë. | Im Sommer ist es heiß, während es im Winter kalt ist.
L5 | 111 | A beson se natyrën duhet me e mbrojtë? | Glaubst du, dass man die Natur schützen muss?
L5 | 112 | Ky mal asht më i larti në Kosovë, sepse ka shumë borë. | Dieser Berg ist der höchste im Kosovo, weil er viel Schnee hat.
══════════════════════════════════════════════════
LEVEL 6 — MITTELSTUFE III — Reisen, Einkaufen, Technologie, Relativsätze
112 Sätze
══════════════════════════════════════════════════

L6 | 001 | A je tu shkue n'treg me blejtë ca mollë? | Gehst du zum Markt um ein paar Äpfel zu kaufen?
L6 | 002 | Autobusi që shkon n'Prishtinë niset n'ora pesë. | Der Bus, der nach Pristina fährt, startet um fünf Uhr.
L6 | 003 | Sa kushton kjo veturë që po shof? | Wie viel kostet dieses Auto, das ich sehe?
L6 | 004 | Kam blejtë nji telefon të ri që ka kamër të mirë. | Ich habe ein neues Telefon gekauft, das eine gute Kamera hat.
L6 | 005 | A mund të më tregosh kah asht stacioni i autobusit? | Kannst du mir zeigen, wo die Bushaltestelle ist?
L6 | 006 | Kjo çantë kushton shumë, por ajo asht më e lirë. | Diese Tasche kostet viel, aber jene ist billiger.
L6 | 007 | Furgoni që shkon n'Prizren niset n'ora gjashtë. | Der Kleinbus, der nach Prizren fährt, startet um sechs Uhr.
L6 | 008 | Sa para ke shpenzue për blerje sot? | Wie viel Geld hast du heute für Einkäufe ausgegeben?
L6 | 009 | Kompjuteri që kam blejtë asht shumë i shpejtë. | Der Computer, den ich gekauft habe, ist sehr schnell.
L6 | 010 | Kthehu majtas në semafor, pastaj vazhdo drejt. | Bieg an der Ampel links ab, dann fahr geradeaus.
L6 | 011 | A ke para të mjaftueshme për biletë? | Hast du genug Geld für ein Ticket?
L6 | 012 | Kjo rrugë që shkon në qendër asht shumë e ngarkume. | Diese Straße, die ins Zentrum führt, ist sehr befahren.
L6 | 013 | Kam porositë nji laptop të ri për punë. | Ich habe einen neuen Laptop für die Arbeit bestellt.
L6 | 014 | A din kah asht marketi më i afërm? | Weißt du, wo der nächste Supermarkt ist?
L6 | 015 | Sa larg asht stacioni i trenit prej këtu? | Wie weit ist der Bahnhof von hier?
L6 | 016 | Kjo kartelë bankare më lejon me paguë online. | Diese Bankkarte erlaubt mir, online zu bezahlen.
L6 | 017 | A shesin mollë në këtë treg? | Verkaufen sie Äpfel auf diesem Markt?
L6 | 018 | Makina që kam marrë me qira asht shumë e re. | Das Auto, das ich gemietet habe, ist sehr neu.
L6 | 019 | Du me shkue n'Prishtinë me tren, por bileta s'asht lirë. | Ich will nach Pristina mit dem Zug fahren, aber das Ticket ist nicht billig.
L6 | 020 | Sa shumë njerëz janë në këtë dyqan sot! | Wie viele Leute sind heute in diesem Geschäft!
L6 | 021 | Telefoni im ka ekran që thyhet lehtë. | Mein Telefon hat einen Bildschirm, der leicht bricht.
L6 | 022 | A je tu shkue n'qendër tregtare me blejtë rroba? | Gehst du ins Einkaufszentrum, um Kleidung zu kaufen?
L6 | 023 | Mund të paguaj me kartelë apo me para në dorë? | Kann ich mit Karte oder bar bezahlen?
L6 | 024 | Kjo asht rruga që shkon n'aeroport. | Das ist die Straße, die zum Flughafen führt.
L6 | 025 | Sa kushton biletë vajtje-ardhje për n'Gjermani? | Wie viel kostet ein Hin- und Rückflugticket nach Deutschland?
L6 | 026 | A ke provue këtë aplikacion që tregon hartën? | Hast du diese App ausprobiert, die die Karte zeigt?
L6 | 027 | Kam marrë veturën me qira për tri ditë. | Ich habe das Auto für drei Tage gemietet.
L6 | 028 | Dyqani që shet bukë asht në cep të rrugës. | Das Geschäft, das Brot verkauft, ist an der Ecke.
L6 | 029 | Sa orë duhet me shkue prej Prishtinës n'Tiranë? | Wie viele Stunden braucht man von Pristina nach Tirana?
L6 | 030 | Po kërkoj nji hotel që s'asht shumë i shtrenjtë. | Ich suche ein Hotel, das nicht sehr teuer ist.
L6 | 031 | A ke lidhje interneti në shtëpi? | Hast du eine Internetverbindung zu Hause?
L6 | 032 | Jam tu shkue n'treg me blejtë perime të freskëta. | Ich gehe zum Markt, um frisches Gemüse zu kaufen.
L6 | 033 | Kjo veturë që shof atje asht e vllait tim. | Dieses Auto, das ich dort sehe, gehört meinem Bruder.
L6 | 034 | Sa kushton në kilogram mollët? | Wie viel kostet ein Kilo Äpfel?
