═══════════════════════════════════════════════════════════════════════════════════
  GHEG (KOSOVO-ALBANISCH) BEISPILLSÄTZE — LEVEL 4 bis 6 (MITTELSTUFE)
  Dialekt: Gheg (Kosovo-Variante) — ~333 Sätze
  Format: Level | # | Gheg (Kosovo) | Deutsch
Level 6 | 18 | Makina që kam marrë me qira asht shumë e re. | Das Auto, das ich gemietet habe, ist sehr neu.
Level 6 | 19 | Du me shkue n'Prishtinë me tren, por bileta s'asht lirë. | Ich will nach Pristina mit dem Zug fahren, aber das Ticket ist nicht billig.
Level 6 | 20 | Sa shumë njerëz janë në këtë dyqan sot! | Wie viele Leute sind heute in diesem Geschäft!
Level 6 | 21 | Telefoni im ka ekran që thyhet lehtë. | Mein Telefon hat einen Bildschirm, der leicht bricht.
Level 6 | 22 | A je tu shkue n'qendër tregtare me blejtë rroba? | Gehst du ins Einkaufszentrum, um Kleidung zu kaufen?
Level 6 | 23 | Mund të paguaj me kartelë apo me para në dorë? | Kann ich mit Karte oder bar bezahlen?
Level 6 | 24 | Kjo asht rruga që shkon n'aeroport. | Das ist die Straße, die zum Flughafen führt.
Level 6 | 25 | Sa kushton biletë vajtje-ardhje për n'Gjermani? | Wie viel kostet ein Hin- und Rückflugticket nach Deutschland?
Level 6 | 26 | A ke provue këtë aplikacion që tregon hartën? | Hast du diese App ausprobiert, die die Karte zeigt?
Level 6 | 27 | Kam marrë veturën me qira për tri ditë. | Ich habe das Auto für drei Tage gemietet.
Level 6 | 28 | Dyqani që shet bukë asht në cep të rrugës. | Das Geschäft, das Brot verkauft, ist an der Ecke.
Level 6 | 29 | Sa orë duhet me shkue prej Prishtinës n'Tiranë? | Wie viele Stunden braucht man von Pristina nach Tirana?
Level 6 | 30 | Po kërkoj nji hotel që s'asht shumë i shtrenjtë. | Ich suche ein Hotel, das nicht sehr teuer ist.
Level 6 | 31 | A ke lidhje interneti në shtëpi? | Hast du eine Internetverbindung zu Hause?
Level 6 | 32 | Jam tu shkue n'treg me blejtë perime të freskëta. | Ich gehe zum Markt, um frisches Gemüse zu kaufen.
Level 6 | 33 | Kjo veturë që shof atje asht e vllait tim. | Dieses Auto, das ich dort sehe, gehört meinem Bruder.
Level 6 | 34 | Sa kushton në kilogram mollët? | Wie viel kostet ein Kilo Äpfel?
Level 6 | 35 | Treni që shkon për n'Shkup niset n'ora tetë. | Der Zug, der nach Skopje fährt, startet um acht Uhr.
Level 6 | 36 | Mund të më tregosh kah asht banka më e afërt? | Kannst du mir zeigen, wo die nächste Bank ist?
Level 6 | 37 | Kam shpenzue shumë para për teknologji këtë muaj. | Ich habe diesen Monat viel Geld für Technologie ausgegeben.
Level 6 | 38 | Këpucët që kam blejtë janë shumë komode. | Die Schuhe, die ich gekauft habe, sind sehr bequem.
Level 6 | 39 | A ka nji stacion autobusi afër këtu? | Gibt es eine Bushaltestelle in der Nähe?
Level 6 | 40 | Sa larg asht aeroporti prej qendrës? | Wie weit ist der Flughafen vom Zentrum entfernt?
Level 6 | 41 | Porosia që kam ba online do të vij sonte. | Die Bestellung, die ich online gemacht habe, wird heute Abend kommen.
Level 6 | 42 | A pranon kjo shitore kartela krediti? | Akzeptiert dieser Laden Kreditkarten?
Level 6 | 43 | Unë kam shumë aplikacione në telefon që përdori çdo ditë. | Ich habe viele Apps auf dem Telefon, die ich jeden Tag benutze.
Level 6 | 44 | Kthehu djathtas në udhëkryq, pastaj vazhdo drejt. | Bieg an der Kreuzung rechts ab, dann fahr geradeaus.
Level 6 | 45 | Sa kushton nji biletë autobusi për në qytet? | Wie viel kostet ein Busticket in die Stadt?
Level 6 | 46 | Restoranti që rekomandon ti asht shumë i mirë. | Das Restaurant, das du empfiehlst, ist sehr gut.
Level 6 | 47 | Kam harruë portofolin në shtëpi me të gjitha paratë. | Ich habe das Portemonnaie mit dem ganzen Geld zu Hause vergessen.
Level 6 | 48 | A je tu shkue n'pazar me blejtë mish? | Gehst du auf den Markt, um Fleisch zu kaufen?
Level 6 | 49 | Furgoni që shkon n'Pejë niset prej këtu. | Der Kleinbus, der nach Peja fährt, startet von hier.
Level 6 | 50 | Këto këpucë që kam provue janë shumë të shtrenjta. | Diese Schuhe, die ich anprobiert habe, sind sehr teuer.
Level 6 | 51 | A ki para të mjaftueshme për të paguë qiranë? | Hast du genug Geld, um die Miete zu bezahlen?
Level 6 | 52 | Taksi që na mori në aeroport ishte shumë i shpejtë. | Das Taxi, das uns am Flughafen abholte, war sehr schnell.
Level 6 | 53 | Sa shumë trafik ka në këtë rrugë! | Wie viel Verkehr ist auf dieser Straße!
Level 6 | 54 | Kjo aplikacion që shkarkova asht shumë e dobishme. | Diese App, die ich heruntergeladen habe, ist sehr nützlich.
Level 6 | 55 | A din kah asht farmacia më e afërt? | Weißt du, wo die nächste Apotheke ist?
Level 6 | 56 | Kam blejtë nji valixhe të re për udhëtim. | Ich habe einen neuen Koffer für die Reise gekauft.
Level 6 | 57 | Çmimi që ke thânë asht fort i lartë. | Der Preis, den du gesagt hast, ist sehr hoch.
Level 6 | 58 | Vazhdo drejt për dy kilometra, pastaj kthehu majtas. | Fahr zwei Kilometer geradeaus, dann bieg links ab.
Level 6 | 59 | A ke provue me blé online ndonjëherë? | Hast du jemals online eingekauft?
Level 6 | 60 | Ky smartphone që kam blejtë ka bateri të mirë. | Dieses Smartphone, das ich gekauft habe, hat einen guten Akku.
Level 6 | 61 | Sa kushton me marrë nji veturë me qira për një javë? | Wie viel kostet es, ein Auto für eine Woche zu mieten?
Level 6 | 62 | Në këtë dyqan shesin rroba që janë në modë. | In diesem Geschäft verkaufen sie Kleidung, die in Mode ist.
Level 6 | 63 | A ka nji bankomat afër këtu? | Gibt es einen Geldautomaten in der Nähe?
Level 6 | 64 | Hotel që kam rezervue asht pranë plazhit. | Das Hotel, das ich reserviert habe, ist am Strand.
Level 6 | 65 | Kam shumë punë, por pak para. | Ich habe viel Arbeit, aber wenig Geld.
Level 6 | 66 | Furgoni niset kah Gjakova n'ora nëntë. | Der Kleinbus fährt um neun Uhr Richtung Gjakova.
Level 6 | 67 | A mund të paguaj me kartelë në këtë market? | Kann ich in diesem Supermarkt mit Karte bezahlen?
Level 6 | 68 | Kjo rrugë që shkon n'stacion asht shumë e ngarkume. | Diese Straße, die zum Bahnhof führt, ist sehr befahren.
Level 6 | 69 | Sa kushton nji kilogram mish pule? | Wie viel kostet ein Kilo Hühnerfleisch?
Level 6 | 70 | Telefoni im ka nji kamerë që bën fotografi të bukura. | Mein Telefon hat eine Kamera, die schöne Fotos macht.
Level 6 | 71 | Du me shkue n'Tiranë me aeroplan javën tjetër. | Ich will nächste Woche mit dem Flugzeug nach Tirana fliegen.
Level 6 | 72 | A shesin peshk të freskët në këtë treg? | Verkaufen sie frischen Fisch auf diesem Markt?
Level 6 | 73 | Kam harruë fjalëkalimin për llogarinë time. | Ich habe das Passwort für mein Konto vergessen.
Level 6 | 74 | Restoranti që asht përballë stacionit asht i mirë. | Das Restaurant, das gegenüber dem Bahnhof ist, ist gut.
Level 6 | 75 | Sa shumë shitore ka në këtë qendër tregtare! | Wie viele Geschäfte es in diesem Einkaufszentrum gibt!
Level 6 | 76 | A je tu pritë autobusin që shkon në qytet? | Wartest du auf den Bus, der in die Stadt fährt?
Level 6 | 77 | Ky çmim asht fort i ulët për këtë produkt. | Dieser Preis ist sehr niedrig für dieses Produkt.
Level 6 | 78 | Kam blejtë nji biletë online për koncert. | Ich habe ein Ticket online für das Konzert gekauft.
Level 6 | 79 | Rruga që shkon n'plazh asht shumë e bukur. | Die Straße, die zum Strand führt, ist sehr schön.
Level 6 | 80 | A din kah asht hyrja për në park? | Weißt du, wo der Eingang zum Park ist?
Level 6 | 81 | Kam shkarkue nji program që më ndihmon me mësue gjuhë. | Ich habe ein Programm heruntergeladen, das mir beim Sprachenlernen hilft.
Level 6 | 82 | Sa kushton me dërgu nji parcelë n'Gjermani? | Wie viel kostet es, ein Paket nach Deutschland zu schicken?
Level 6 | 83 | A shesin bukë të freskët në këtë furrë? | Verkaufen sie frisches Brot in dieser Bäckerei?
Level 6 | 84 | Kjo veturë që po shof ka ngjyrë të kuqe. | Dieses Auto, das ich sehe, hat eine rote Farbe.
Level 6 | 85 | Jam tu shkue në stacion me marrë trenin për n'shpi. | Ich gehe zum Bahnhof, um den Zug nach Hause zu nehmen.
Level 6 | 86 | Kam shumë fotografi në telefon që du me i ruajtë. | Ich habe viele Fotos auf dem Telefon, die ich speichern muss.
Level 6 | 87 | A pranon kjo furrë pagesë me kartelë? | Akzeptiert diese Bäckerei Kartenzahlung?
Level 6 | 88 | Stacioni i autobusit që kërkon ti asht aty prapa. | Die Bushaltestelle, die du suchst, ist dort hinten.
Level 6 | 89 | Sa orë udhëtim asht prej Prishtinës në Shkup? | Wie viele Stunden Fahrt ist es von Pristina nach Skopje?
Level 6 | 90 | A ke pa çmimet e reja në këtë dyqan? — Janë fort të larta. | Hast du die neuen Preise in diesem Geschäft gesehen? — Sie sind sehr hoch.
Level 6 | 91 | Kjo faqe interneti që përdori asht shumë e shpejtë. | Diese Website, die ich benutze, ist sehr schnell.
Level 6 | 92 | A je tu shkue në aeroport me pritë motrën? | Gehst du zum Flughafen, um die Schwester abzuholen?
Level 6 | 93 | Kam hapë nji llogari bankare për kursim parash. | Ich habe ein Bankkonto zum Geldsparen eröffnet.
Level 6 | 94 | Rruga më e shkurtër për n'qendër asht këndej. | Der kürzeste Weg ins Zentrum ist hier entlang.
Level 6 | 95 | Sa shumë para kam shpenzue për teknologji këtë vit! | Wie viel Geld ich dieses Jahr für Technologie ausgegeben habe!
Level 6 | 96 | A shetin qumësht organik në këtë market? | Verkaufen sie Bio-Milch in diesem Supermarkt?
Level 6 | 97 | Laptopi që kam blejtë asht më i miri për programim. | Der Laptop, den ich gekauft habe, ist der beste zum Programmieren.
Level 6 | 98 | Mund të më tregosh kah asht dalja për n'Tiranë? | Kannst du mir zeigen, wo die Ausfahrt nach Tirana ist?
Level 6 | 99 | Kam blejtë pak fruta dhe shumë perime në treg. | Ich habe wenig Obst und viel Gemüse auf dem Markt gekauft.
Level 6 | 100 | A ke provue këtë ruter që ka sinjal më të fortë? | Hast du diesen Router ausprobiert, der ein stärkeres Signal hat?
Level 6 | 101 | Në këtë rrugë që shkon n'shkollë ka shumë makina. | Auf dieser Straße, die zur Schule führt, gibt es viele Autos.
Level 6 | 102 | Sa kushton me mbushë veturën me benzinë? | Wie viel kostet es, das Auto zu betanken?
Level 6 | 103 | A ka nji stacion të autobusit që shkon n'Prishtinë? | Gibt es eine Bushaltestelle, die nach Pristina fährt?
Level 6 | 104 | Kjo kartelë debiti më ndihmon me menaxhu paratë. | Diese Debitkarte hilft mir, das Geld zu verwalten.
Level 6 | 105 | Jam tu shkue në treg me blejtë pak djathë e shumë ullinj. | Ich gehe zum Markt, um wenig Käse und viele Oliven zu kaufen.
Level 6 | 106 | A din për nji aplikacion që tregon trafikun në kohë reale? | Weißt du von einer App, die den Verkehr in Echtzeit zeigt?
Level 6 | 107 | Udhëtimi që kam planifikue për verë asht shumë i gjatë. | Die Reise, die ich für den Sommer geplant habe, ist sehr lang.
Level 6 | 108 | Sa kushton nji orë dore që ka GPS? | Wie viel kostet eine Armbanduhr, die GPS hat?
Level 6 | 109 | Këpucët që kam blejtë në zbritje ishin fort lirë. | Die Schuhe, die ich im Angebot gekauft habe, waren sehr billig.
Level 6 | 110 | A ke shkue ndonjëherë n'Tiranë me autobus? | Bist du jemals mit dem Bus nach Tirana gefahren?
Level 6 | 111 | Ky telefon që kam blejtë ka një ekran shumë të madh. | Dieses Telefon, das ich gekauft habe, hat einen sehr großen Bildschirm.
Level 6 | 112 | Kam porositë shumë sende online, por pak kanë ardhë deri tash. | Ich habe viele Sachen online bestellt, aber wenige sind bis jetzt angekommen.


═══════════════════════════════════════════════════════════════════════════════════
  GJITHSEJT: 336 SÄTZE (Level 4: 112, Level 5: 112, Level 6: 112)
  Dialekt: Gheg (Kosovo-Variante)
  Erstellt für Deutschsprachige Lernende des Kosovo-Albanischen
═══════════════════════════════════════════════════════════════════════════════════
